PromotionID,PromotionType,StartDate,EndDate,DiscountPercent,ProductID,MarketingSpend
PROMO001,Percentage Discount,2024-01-01,2024-01-15,10,P001,5000
PROMO002,Bundle Deal,2024-01-05,2024-01-20,15,P005,8000
PROMO003,Flash Sale,2024-01-10,2024-01-12,20,P002,3000
PROMO004,Seasonal Promotion,2024-01-15,2024-02-15,12,P003,4500
PROMO005,Loyalty Discount,2024-01-01,2024-03-31,5,P004,2000
PROMO006,Clearance Event,2024-01-20,2024-01-31,30,P006,6000
PROMO007,Buy One Get One,2024-02-01,2024-02-14,50,P007,5500
PROMO008,Winter Promotion,2024-01-01,2024-02-28,8,P008,7000
PROMO009,Back to School,2024-01-15,2024-02-29,15,P009,4000
PROMO010,Gift Bundle,2024-02-01,2024-02-28,18,P010,6500
