TransactionID,Date,StoreID,ProductID,Quantity,UnitPrice,DiscountAmount,TotalSales,PromotionID
TXN001,2024-01-01,S001,P001,2,29.99,0.00,59.98,
TXN002,2024-01-01,S001,P002,1,49.99,5.00,44.99,PROMO001
TXN003,2024-01-01,S002,P003,3,19.99,0.00,59.97,
TXN004,2024-01-02,S002,P001,1,29.99,2.99,27.00,
TXN005,2024-01-02,S001,P004,5,15.99,7.99,71.96,PROMO001
TXN006,2024-01-03,S003,P002,2,49.99,0.00,99.98,
TXN007,2024-01-03,S001,P005,1,89.99,9.00,80.99,PROMO002
TXN008,2024-01-04,S002,P003,4,19.99,3.20,76.76,
TXN009,2024-01-04,S003,P001,2,29.99,0.00,59.98,
TXN010,2024-01-05,S001,P004,3,15.99,2.40,45.57,
TXN011,2024-01-05,S002,P005,1,89.99,9.00,80.99,PROMO002
TXN012,2024-01-06,S003,P002,3,49.99,15.00,134.97,PROMO001
TXN013,2024-01-07,S001,P001,2,29.99,0.00,59.98,
TXN014,2024-01-07,S002,P003,5,19.99,10.00,89.95,PROMO001
TXN015,2024-01-08,S003,P004,2,15.99,0.00,31.98,
TXN016,2024-01-08,S001,P005,1,89.99,0.00,89.99,
TXN017,2024-01-09,S002,P002,3,49.99,14.99,134.98,PROMO002
TXN018,2024-01-09,S003,P001,4,29.99,12.00,107.96,
TXN019,2024-01-10,S001,P003,2,19.99,0.00,39.98,
TXN020,2024-01-10,S002,P004,3,15.99,2.40,45.57,PROMO001
TXN021,2024-01-11,S003,P005,1,89.99,9.00,80.99,PROMO002
TXN022,2024-01-11,S001,P002,2,49.99,5.00,94.98,
TXN023,2024-01-12,S002,P001,3,29.99,0.00,89.97,
TXN024,2024-01-12,S003,P003,4,19.99,4.00,75.96,
TXN025,2024-01-13,S001,P004,2,15.99,0.00,31.98,
TXN026,2024-01-13,S002,P005,1,89.99,18.00,71.99,PROMO001
TXN027,2024-01-14,S003,P002,3,49.99,0.00,149.97,
TXN028,2024-01-14,S001,P001,5,29.99,15.00,134.95,PROMO002
TXN029,2024-01-15,S002,P003,2,19.99,2.00,37.98,
TXN030,2024-01-15,S003,P004,3,15.99,3.20,45.57,
